GmlId,COD_EMERGE,DES_EMERGE,FEC_EMERGE,DES_FENOME,DES_FUENTE,DES_GRUPO_,COD_PROV,COD_DIST,DES_JUSTIF,COD_GRUPO_,COD_FENOME,FEC_REGIST,MES_REGIST,LOCALIDAD,EDANOS,AHUMANITAR,DES_DPTO,DES_PROV,DES_DIST,COD_DPTO,FEC_TERMIN,FEC_USUARI,X,Y,Shape;;;;;;;;
"SDE.Emergencias_2016.642,""00074837"",""AUSENCIA DE LLUVIAS PRODUCE SEQUIAS EN COCHABAMBA"",""2016-01-28 13:00:00"",""SEQUIA"",""SECRETARIO TECNICO DE DEFENSA CIVIL DE  COCHABAMBA"",""METEOROLOGICOS, OCEANOGRAFICOS"",""04"",""03"",""CERRADO POR : COEN-25 POR : Se procede el cierre a solicitud del COER, las Dependencias de la Dirección Regional de Agricultura y Agro Rural, están tomando las acciones correspondientes."",""03"",""008"",2016-02-11T00:00:00,2,1,2,0,""HUÁNUCO"",""HUACAYBAMBA"",""COCHABAMBA"",""10"",2016-02-12T00:00:00,2016-02-11T00:00:00,-76.83831,-9.09477,""POINT (-76.83830999999998 -9.094769999999983)""";;;;;;;;
"SDE.Emergencias_2016.643,""00074838"",""AUSENCIA DE LLUVIAS PRODUCE SEQUIAS EN PINRA"",""2016-01-28 13:00:00"",""SEQUIA"",""SECRETARIO TECNICO DE DEFENSA CIVIL DE  PINRA"",""METEOROLOGICOS, OCEANOGRAFICOS"",""04"",""04"",""CERRADO POR : COEN-25 POR : Se procede el cierre a solicitud del COER, las Dependencias de la Dirección Regional de Agricultura y Agro Rural, están tomando las acciones correspondientes."",""03"",""008"",2016-02-11T00:00:00,2,1,2,0,""HUÁNUCO"",""HUACAYBAMBA"",""PINRA"",""10"",2016-02-12T00:00:00,2016-02-11T00:00:00,-77.01781,-8.92525,""POINT (-77.01781 -8.925250000000006)""";;;;;;;;
"SDE.Emergencias_2016.644,""00074989"",""INTENSAS LLUVIAS EN EL DISTRITO DE YANAOCA  CANAS"",""2016-01-28 15:00:00"",""PRECIPITACIONES - LLUVIA"",""JEFE DE DEFENAS CIVIL DE LA MUNICIPALIDAD PROVINCIAL DE CANAS"",""METEOROLOGICOS, OCEANOGRAFICOS"",""05"",""01"",""CERRADO POR : COEN-17 POR : LA EMERGENCIA HA SIDO ATENDIDA."",""03"",""004"",2016-02-20T00:00:00,2,1,6,1,""CUSCO"",""CANAS"",""YANAOCA"",""08"",2016-05-09T00:00:00,2016-02-20T00:00:00,-71.42322,-14.23248,""POINT (-71.42322000000002 -14.23248000000001)""";;;;;;;;
"SDE.Emergencias_2016.645,""00075175"",""INTENSAS PRECIPITACIONES PLUVIALES EN EL DISTRITO DE LANGUI"",""2016-01-28 15:00:00"",""PRECIPITACIONES - LLUVIA"",""JEFE DE LA OFICINA DE DEFENSA CIVIL DE LA MUNICIPALIDAD DISTRITAL DE LANGUI"",""METEOROLOGICOS, OCEANOGRAFICOS"",""05"",""04"",""CERRADO POR : COEN-17 POR : LA EMERGENCIA HA SIDO ATENDIDA."",""03"",""004"",2016-02-27T00:00:00,2,1,3,1,""CUSCO"",""CANAS"",""LANGUI"",""08"",2016-05-09T00:00:00,2016-02-27T00:00:00,-71.27559,-14.43263,""POINT (-71.27559000000002 -14.43263000000002)""";;;;;;;;
"SDE.Emergencias_2016.646,""00074560"",""FUERTES TORMENTAS ELECTRICAS AFECTA INSTUTUCION EDUCATIVA  N° 34579"",""2016-01-28 15:00:00"",""TORMENTA ELECTRICA (TEMPESTAD ELECTRICA)"",""JEFE DE DEFENSA CIVIL DEL DISTRITO DE PAUCAR"",""METEOROLOGICOS, OCEANOGRAFICOS"",""02"",""04"",""CERRADO POR : COEN-10 POR : SE CIERRA LA EMERGENCIA POR FALTA DE ACTUALIZACION DE INFORMACION POR PARTE DEL USUARIO."",""03"",""009"",2016-02-02T00:00:00,2,1,8,0,""PASCO"",""D. A.CARRION"",""PAUCAR"",""19"",2016-05-16T00:00:00,2016-02-02T00:00:00,-76.46736,-10.36291,""POINT (-76.46735999999999 -10.36291)""";;;;;;;;
"SDE.Emergencias_2016.647,""00074664"",""SE HA PRODUCIDO GRANIZADA DAÑANDO CULTIVOS EN EL DISTRITO"",""2016-01-28 16:00:00"",""PRECIPITACIONES - GRANIZO"",""LEONIDAS ARPI TITI TENIENTE GOBERNADOR"",""METEOROLOGICOS, OCEANOGRAFICOS"",""02"",""13"",""CERRADO POR : COE-OP4 POR : LA EMERGENCIA VIENE SIENDO ATENDIDA POR LA DIRECCIÓN REGIONAL AGRARIA, EL PROGRAMA DE APOYO AL DESARROLLO RURAL ANDINO, PROYECTO ESPECIAL DE CAMELIDOS SUDAMERICANOS, AGRURURAL E INSTITUTO NACIONAL DE INNOVACIÓN AGRARIA, ASIM"",""03"",""001"",2016-02-04T00:00:00,2,1,2,0,""PUNO"",""AZANGARO"",""SAN JUAN DE SALINAS"",""21"",2016-02-23T00:00:00,2016-02-04T00:00:00,-70.10978,-14.9911,""POINT (-70.10978 -14.99110000000002)""";;;;;;;;
"SDE.Emergencias_2016.648,""00074824"",""LLUVIAS FUERTES EN LOC SALAS DIST VISTA ALEGRE PROV RODRIGUEZ DE MENDOZA REG AMAZONAS"",""2016-01-28 16:00:00"",""PRECIPITACIONES - LLUVIA"",""PLATAFORMA REGIONAL DE DEFENSA CIVIL AMAZONAS"",""METEOROLOGICOS, OCEANOGRAFICOS"",""06"",""12"",""CERRADO POR : COEN-12 POR : La emergencia ya fue atendida.";;;;;;;;
",03"",""004"",2016-02-11T00:00:00,2,1,3,0,""AMAZONAS"",""R.DE MENDOZA"",""VISTA ALEGRE"",""01"",2016-05-04T00:00:00,2016-02-11T00:00:00,-77.29425,-6.18906,""POINT (-77.29424999999998 -6.189059999999984)""";;;;;;;;
"SDE.Emergencias_2016.367,""00074564"",""SEQUIA EN EL DISTRITO DE LOS MOROCHUCOS"",""2016-01-15 08:00:00"",""SEQUIA"",""AGENCIA AGRARIA CANGALLO"",""METEOROLOGICOS, OCEANOGRAFICOS"",""02"",""03"",""CERRADO POR : COEN-11 POR : EL EXPEDIENTE FUE DERIVADO AL MINISTERIO DE AGRICULTURA Y RIEGO PARA LA ATENCIÓN CORRESPONDIENTE, SE PROCEDE AL CIERRE DE EMERGENCIA."",""03"",""008"",2016-02-02T00:00:00,2,20,2,0,""AYACUCHO"",""CANGALLO"",""LOS MOROCHUCOS"",""05"",2016-04-27T00:00:00,2016-02-02T00:00:00,-74.19438,-13.55626,""POINT (-74.19438000000002 -13.55626000000001)""";;;;;;;;
"SDE.Emergencias_2016.368,""00074190"",""JR HUALLAGA 140"",""2016-01-15 10:22:00"",""INCENDIO URBANO"",""FELIPE CHANG LAU"",""TECNOLOGICOS"",""01"",""01"",""CERRADO POR : COEN-12 POR : La emergencia ya fue atendida.";;;;;;;;
